iter	Passed	Remaining
457	804	952
458	805	949
459	806	946
460	806	943
461	807	940
462	808	937
463	808	934
464	809	931
465	810	928
466	811	925
467	811	922
468	812	919
469	813	917
470	813	914
471	814	911
472	815	908
473	816	905
474	816	902
475	817	900
476	818	897
477	819	894
478	820	891
479	820	889
480	821	886
481	822	883
482	822	880
483	823	878
484	824	875
485	825	872
486	825	869
487	826	867
488	827	864
489	827	861
490	837	868
491	838	865
492	840	864
493	841	861
494	841	858
495	842	856
496	860	870
497	861	868
498	862	865
499	862	862
500	863	860
501	864	857
502	865	854
503	865	851
504	866	849
505	867	846
506	867	843
507	868	841
508	869	838
509	876	842
510	877	840
511	878	837
512	879	834
513	880	832
514	880	829
515	881	826
516	882	824
517	883	821
518	883	819
519	884	816
520	885	814
521	886	811
522	886	808
523	887	806
524	888	803
525	889	801
526	889	798
527	890	796
528	891	793
529	892	791
530	892	788
531	893	786
532	910	797
533	910	794
534	911	792
535	912	789
536	913	787
537	913	784
538	914	782
539	915	779
540	916	777
541	917	774
542	917	772
543	918	769
544	919	767
545	920	765
546	920	762
547	921	760
548	922	757
549	923	755
550	924	752
551	924	750
552	925	748
553	926	745
554	927	743
555	927	741
556	928	738
557	929	736
558	930	733
559	930	731
560	931	728
561	932	726
562	933	724
563	933	721
564	934	719
565	935	717
566	936	715
567	937	712
568	937	710
569	938	708
570	939	705
571	940	703
572	940	701
573	953	707
574	954	705
575	955	703
576	956	701
577	956	698
578	957	696
579	958	694
580	959	691
581	959	689
582	960	687
583	961	684
584	961	682
585	962	680
586	963	677
587	964	675
588	964	673
589	965	670
590	966	668
591	966	666
592	967	664
593	968	661
594	968	659
595	969	657
596	970	655
597	971	652
598	971	650
599	987	658
600	988	656
601	989	653
602	989	651
603	990	649
604	991	647
605	991	644
606	992	642
607	993	640
608	994	638
609	1007	643
610	1007	641
611	1008	639
612	1009	637
613	1009	634
614	1010	632
615	1011	630
616	1012	628
617	1012	626
618	1013	623
619	1014	621
620	1015	619
621	1015	617
622	1016	615
623	1017	613
624	1018	610
625	1019	608
62627	1124	666
628	1126	664
629	1127	661
630	1128	659
631	1140	663
632	1141	661
633	1141	659
634	1142	656
635	1143	654
636	1144	651
637	1144	649
638	1145	647
639	1146	644
640	1147	642
641	1148	640
642	1148	637
643	1149	635
644	1150	633
645	1151	630
646	1152	628
647	1152	626
648	1160	627
649	1161	625
650	1162	623
651	1162	620
652	1163	618
653	1164	616
654	1165	613
655	1166	611
656	1167	609
657	1168	607
658	1169	605
659	1170	602
660	1170	600
661	1171	598
662	1172	595
663	1180	597
