iter	Logloss
0	0.6893232923
1	0.6847883459
2	0.6799502973
3	0.6755926983
4	0.670804987
5	0.6668195459
6	0.6624018414
7	0.6581284721
8	0.6546663563
9	0.6503041081
10	0.6464244065
11	0.6420230513
12	0.6373223395
13	0.6339039008
14	0.6305450161
15	0.6267400312
16	0.6228871155
17	0.6191951411
18	0.6159938083
19	0.6120772665
20	0.6074083298
21	0.6035157133
22	0.6005117248
23	0.5976554469
24	0.5934911243
25	0.5906678255
26	0.586586847
27	0.5835490326
28	0.5802137486
29	0.5763294674
30	0.5727334602
31	0.5688935122
32	0.5660680823
33	0.5626831414
34	0.5594383244
35	0.5557870936
36	0.5524438869
37	0.5486048984
38	0.5452768892
39	0.5427777496
40	0.5403681041
41	0.5367352508
42	0.5326234318
43	0.5302799731
44	0.5272040476
45	0.5240359355
46	0.5212732383
47	0.5179305935
48	0.5145429319
49	0.5118090083
50	0.5091959062
51	0.5057256066
52	0.5029607029
53	0.4999313306
54	0.4967145327
55	0.4933116961
56	0.4905889366
57	0.4879128425
58	0.4857389918
59	0.4835843963
60	0.4810069013
61	0.4787862389
62	0.4778122754
63	0.474845597
64	0.4716509271
65	0.468991981
66	0.4668150794
67	0.4641870067
68	0.4613473166
69	0.458692136
70	0.4563054882
71	0.4543496782
72	0.4517909019
73	0.4493507669
74	0.4474338617
75	0.4448840635
76	0.4421823956
77	0.4397657718
78	0.4372241006
79	0.4349883031
80	0.4331933893
81	0.4310600826
82	0.4287412232
83	0.4270719071
84	0.4248851129
85	0.4221176491
86	0.4202895077
87	0.4180533931
88	0.4156284469
89	0.4136638389
90	0.411282364
91	0.4092371032
92	0.4073124593
93	0.4054468566
94	0.403515837
95	0.401203197
96	0.3991723438
97	0.3968422322
98	0.3948448729
99	0.3926805082
100	0.3912021969
101	0.38951793
102	0.3881644768
103	0.386057491
104	0.3842905045
105	0.3827286888
106	0.3810948576
107	0.3794094211
108	0.3779848451
109	0.3758578227
110	0.3741784981
111	0.3726281671
112	0.3712439719
113	0.3704305927
114	0.3685525219
115	0.3671748979
116	0.3658484039
117	0.3642031045
118	0.3629293828
119	0.3610762193
120	0.3594800728
121	0.3580386769
122	0.3568874518
123	0.3554839662
124	0.3537111748
125	0.352331145
126	0.3508103643
127	0.3492511278
128	0.3480049139
129	0.3464883146
130	0.3452675973
131	0.344147521
132	0.3428386007
133	0.3413214871
134	0.3396406117
135	0.3387779559
136	0.3374916593
137	0.336407754
138	0.3346522683
139	0.3331637422
140	0.3314890975
141	0.3298492931
142	0.3283945305
143	0.3269229594
144	0.3250177264
145	0.323648639
146	0.3219462531
147	0.3207500815
148	0.3192260526
149	0.3178637243
150	0.3163781359
151	0.3151390677
152	0.3141975993
153	0.3127720487
154	0.3113354649
155	0.3097682896
156	0.3080097323
157	0.3067577101
158	0.3053944701
159	0.3039768946
160	0.3025871101
161	0.3013989607
162	0.3001362801
163	0.2988265588
164	0.2976032989
165	0.2961355953
166	0.2952041751
167	0.2941396106
168	0.2936759268
169	0.2925202046
170	0.2916785376
171	0.290349706
172	0.2894299524
173	0.2885167587
174	0.287522316
175	0.2864292383
176	0.2852150321
177	0.2841559121
178	0.2830451398
179	0.2822349872
180	0.2811251243
181	0.2801169605
182	0.2793712593
183	0.2784702642
184	0.2775324197
185	0.2767379766
186	0.2754716589
187	0.2744172931
188	0.2735933423
189	0.2725222775
190	0.2717644129
191	0.2706880938
192	0.2697780967
193	0.2687896479
194	0.2676674667
195	0.2668698299
196	0.2661013229
197	0.2653742092
198	0.2644594539
199	0.2634354586
200	0.2626778461
201	0.2619547838
202	0.2611190075
203	0.2603010774
204	0.2594100169
205	0.2584267134
206	0.2577429419
207	0.2565319459
208	0.255762736
209	0.2552606441
210	0.2544004963
211	0.2534624639
212	0.2528197765
213	0.2520611014
214	0.2510591865
215	0.2500066933
216	0.2490982379
217	0.2481587484
218	0.2471276908
219	0.2464033121
220	0.245531702
221	0.2447370132
222	0.24385971
223	0.2429421919
224	0.241945332
225	0.241025776
226	0.2402320811
227	0.2393957899
228	0.2386614828
229	0.2378215733
230	0.2371930957
231	0.2364955289
232	0.2357279295
233	0.2349884578
234	0.2341944859
235	0.2336835714
236	0.2328743123
237	0.2320767448
238	0.2313733561
239	0.2308952848
240	0.2302950286
241	0.2295436956
242	0.2284974002
243	0.2275632166
244	0.2268005689
245	0.2262504873
246	0.2255138545
247	0.2249753946
248	0.2245706541
249	0.2238887492
250	0.2233453064
251	0.2224454885
252	0.2217588839
253	0.2210960042
254	0.2206479476
255	0.2200216004
256	0.219813021
257	0.2192140818
258	0.2185885219
259	0.2179038814
260	0.2171869902
261	0.2167908209
262	0.2160521388
263	0.2154311379
264	0.2148866739
265	0.2140583504
266	0.2136950635
267	0.2130261512
268	0.2122538061
269	0.2117439066
270	0.2112130091
271	0.2106736109
272	0.2101018883
273	0.2093445659
274	0.2090069549
275	0.208517955
276	0.2079350585
277	0.20730193
278	0.2069270327
279	0.2064038112
280	0.2056498357
281	0.2053411319
282	0.2049195426
283	0.2044551543
284	0.2037783963
285	0.2032383941
286	0.2027913457
287	0.2021680338
288	0.2018099836
289	0.2015570408
290	0.2007794352
291	0.2000450702
292	0.199467005
293	0.1987503557
294	0.198281916
295	0.197840287
296	0.1972096023
297	0.1966737475
298	0.1962036825
299	0.195691405
300	0.1952318725
301	0.1945083993
302	0.1941446611
303	0.1936515138
304	0.1931523368
305	0.1927664609
306	0.1922533024
307	0.1918174028
308	0.1914585783
309	0.190954465
310	0.1906476827
311	0.1899687097
312	0.1895184222
313	0.1890597423
314	0.1885723773
315	0.1882550012
316	0.1876126516
317	0.1870958533
318	0.1868206342
319	0.1861959026
320	0.1858599141
321	0.1854329541
322	0.1849646818
323	0.1846157698
324	0.1840496245
325	0.1834832339
326	0.1830686297
327	0.1827153967
